📊 Circuit Breaker 실시간 메트릭 수집 시작
🔗 Target: T1 localhost:8080/api/circuit-breaker/status
📈 실시간 메트릭 수집 시작 (5초 간격)
[2025-08-20 21:01:01] State: CLOSED | Failures: 0 | Requests: 109 | Success: 100.00% | Avg: 4.50ms
[2025-08-20 21:01:06] State: CLOSED | Failures: 0 | Requests: 109 | Success: 100.00% | Avg: 4.50ms
[2025-08-20 21:01:11] State: CLOSED | Failures: 0 | Requests: 110 | Success: 100.00% | Avg: 4.55ms
[2025-08-20 21:01:16] State: CLOSED | Failures: 0 | Requests: 110 | Success: 100.00% | Avg: 4.55ms
[2025-08-20 21:01:21] State: CLOSED | Failures: 0 | Requests: 110 | Success: 100.00% | Avg: 4.55ms
[2025-08-20 21:01:26] State: CLOSED | Failures: 0 | Requests: 111 | Success: 100.00% | Avg: 4.56ms
[2025-08-20 21:01:31] State: CLOSED | Failures: 0 | Requests: 111 | Success: 100.00% | Avg: 4.56ms
[2025-08-20 21:01:36] State: CLOSED | Failures: 0 | Requests: 111 | Success: 100.00% | Avg: 4.56ms
[2025-08-20 21:01:41] State: CLOSED | Failures: 0 | Requests: 112 | Success: 100.00% | Avg: 4.54ms
[2025-08-20 21:01:46] State: CLOSED | Failures: 0 | Requests: 112 | Success: 100.00% | Avg: 4.54ms
[2025-08-20 21:01:51] State: CLOSED | Failures: 0 | Requests: 112 | Success: 100.00% | Avg: 4.54ms
[2025-08-20 21:01:56] State: CLOSED | Failures: 0 | Requests: 113 | Success: 100.00% | Avg: 4.55ms
[2025-08-20 21:02:01] State: CLOSED | Failures: 0 | Requests: 113 | Success: 100.00% | Avg: 4.55ms
[2025-08-20 21:02:06] State: CLOSED | Failures: 0 | Requests: 113 | Success: 100.00% | Avg: 4.55ms
[2025-08-20 21:02:11] State: CLOSED | Failures: 0 | Requests: 114 | Success: 100.00% | Avg: 4.53ms
[2025-08-20 21:02:16] State: CLOSED | Failures: 0 | Requests: 114 | Success: 100.00% | Avg: 4.53ms
[2025-08-20 21:02:21] State: CLOSED | Failures: 0 | Requests: 114 | Success: 100.00% | Avg: 4.53ms
[2025-08-20 21:02:26] State: CLOSED | Failures: 0 | Requests: 115 | Success: 100.00% | Avg: 4.53ms
[2025-08-20 21:02:31] State: CLOSED | Failures: 0 | Requests: 115 | Success: 100.00% | Avg: 4.53ms
[2025-08-20 21:02:36] State: CLOSED | Failures: 0 | Requests: 115 | Success: 100.00% | Avg: 4.53ms
[2025-08-20 21:02:41] State: CLOSED | Failures: 0 | Requests: 116 | Success: 100.00% | Avg: 4.55ms
[2025-08-20 21:02:46] State: CLOSED | Failures: 0 | Requests: 116 | Success: 100.00% | Avg: 4.55ms
[2025-08-20 21:02:51] State: CLOSED | Failures: 0 | Requests: 116 | Success: 100.00% | Avg: 4.55ms
[2025-08-20 21:02:56] State: CLOSED | Failures: 0 | Requests: 117 | Success: 100.00% | Avg: 4.55ms
[2025-08-20 21:03:01] State: CLOSED | Failures: 0 | Requests: 117 | Success: 100.00% | Avg: 4.55ms
[2025-08-20 21:03:07] State: CLOSED | Failures: 0 | Requests: 117 | Success: 100.00% | Avg: 4.55ms
[2025-08-20 21:03:12] State: CLOSED | Failures: 0 | Requests: 118 | Success: 100.00% | Avg: 4.53ms
[2025-08-20 21:03:17] State: CLOSED | Failures: 0 | Requests: 118 | Success: 100.00% | Avg: 4.53ms
[2025-08-20 21:03:22] State: CLOSED | Failures: 0 | Requests: 118 | Success: 100.00% | Avg: 4.53ms
[2025-08-20 21:03:27] State: CLOSED | Failures: 0 | Requests: 119 | Success: 100.00% | Avg: 4.54ms
[2025-08-20 21:03:32] State: CLOSED | Failures: 0 | Requests: 119 | Success: 100.00% | Avg: 4.54ms
[2025-08-20 21:03:37] State: CLOSED | Failures: 0 | Requests: 119 | Success: 100.00% | Avg: 4.54ms
[2025-08-20 21:03:42] State: CLOSED | Failures: 0 | Requests: 120 | Success: 100.00% | Avg: 4.54ms
[2025-08-20 21:03:47] State: CLOSED | Failures: 0 | Requests: 120 | Success: 100.00% | Avg: 4.54ms
[2025-08-20 21:03:52] State: CLOSED | Failures: 0 | Requests: 120 | Success: 100.00% | Avg: 4.54ms
[2025-08-20 21:03:57] State: CLOSED | Failures: 0 | Requests: 121 | Success: 100.00% | Avg: 4.55ms
[2025-08-20 21:04:02] State: CLOSED | Failures: 0 | Requests: 121 | Success: 100.00% | Avg: 4.55ms
[2025-08-20 21:04:07] State: CLOSED | Failures: 0 | Requests: 121 | Success: 100.00% | Avg: 4.55ms
[2025-08-20 21:04:12] State: CLOSED | Failures: 0 | Requests: 122 | Success: 100.00% | Avg: 4.54ms
[2025-08-20 21:04:17] State: CLOSED | Failures: 0 | Requests: 122 | Success: 100.00% | Avg: 4.54ms
